script_id,imdb_id,character_from_script,closest_character_name_from_imdb_match,closest_imdb_character_id
1,tt0147800,bianca,bianca stratford,nm0646351
1,tt0147800,cameron,cameron james,nm0330687
1,tt0147800,chastity,chastity,nm0005517
1,tt0147800,joey,joey donner,nm0005080
1,tt0147800,kat,kat stratford,nm0005466
1,tt0147800,mandella,mandella,nm0006721
1,tt0147800,michael,michael,nm0472710
1,tt0147800,patrick,patrick verona,nm0005132
1,tt0147800,walter,walter stratford,nm0588777
2,tt0103594,alonso,alonso,nm0274574
2,tt0103594,arojaz,arojaz,nm0758002
2,tt0103594,beatrix,beatrix,nm0596807
2,tt0103594,bobadilla,bobadilla,nm0546797
2,tt0103594,columbus,columbus,nm0000367
2,tt0103594,fernando,older fernando,nm0000363
2,tt0103594,isabel,queen isabel,nm0000244
2,tt0103594,marchena,marchena,nm0721073
2,tt0103594,mendez,captain mendez,nm0242656
2,tt0103594,moxica,moxica,nm0000699
2,tt0103594,pinzon,pinzon,nm0001409
2,tt0103594,sanchez,sanchez,nm0000800
2,tt0103594,utapan,utapan,nm0610350
3,tt0179626,cutler,himself,nm0036250
3,tt0179626,daphne,daphne handlova,nm0267812
3,tt0179626,duffy,deputy chief fire marshal declan duffy,nm0359695
3,tt0179626,eddie,detective eddie flemming,nm0000134
3,tt0179626,emil,emil slovak,nm0734558
3,tt0179626,hawkins,robert hawkins,nm0001288
3,tt0179626,honey,honey the hooker,nm0263102
3,tt0179626,jordy,fire marshal jordy warsaw,nm0122653
3,tt0179626,korfin,bobby korfin,nm0228180
3,tt0179626,leon,detective leon jackson,nm0000984
3,tt0179626,maggie,maggie,nm0547484
3,tt0179626,milos,milos karlova,nm0556343
3,tt0179626,mugger,mugger in central park,nm0004979
3,tt0179626,nicolette,nicolette karas,nm0005074
3,tt0179626,oleg,oleg razgul,nm0847727
3,tt0179626,rose,rose hearn,nm0000234
3,tt0179626,stephen geller,stephen geller,nm0750353
3,tt0179626,tommy,detective tommy cullen,nm0566902
3,tt0179626,vendor,news stand vendor,nm0182662
4,tt0062622,b20,dr. dave bowman,nm0001158
4,tt0062622,c12,moon-watcher,nm0725220
4,tt0062622,elena,elena,nm0879239
4,tt0062622,floyd,dr. heywood r. floyd,nm0843213
4,tt0062622,hal,dr. ralph halvorsen,nm0064235
4,tt0062622,michaels,dr. bill michaels,nm0838330
4,tt0062622,miller,miller,nm0779441
4,tt0062622,pilot,aries-1b lunar shuttle captain,nm0084042
4,tt0062622,poole,dr. frank poole,nm0516972
4,tt0062622,smyslov,dr. andrei smyslov,nm0744436
5,tt0083511,attendant,parking lot attendant,nm0845062
5,tt0083511,bartender,bartender,nm0510036
5,tt0083511,billy,billy bear,nm0484739
5,tt0083511,candy,candy,nm0114368
5,tt0083511,casey,casey,nm0741558
5,tt0083511,cates,jack cates,nm0000560
5,tt0083511,elaine,elaine,nm0001578
5,tt0083511,ganz,albert ganz,nm0001664
5,tt0083511,haden,haden,nm0574433
5,tt0083511,hammond,reggie hammond,nm0000552
5,tt0083511,henry,henry wong,nm0355194
5,tt0083511,kehoe,ben kehoe,nm0001397
5,tt0083511,lisa,"lisa, blonde hooker",nm0085598
5,tt0083511,luther,luther,nm0446314
5,tt0083511,young cop,young cop,nm0021112
6,tt0119116,cornelius,father vito cornelius,nm0000453
6,tt0119116,david,david,nm0187224
6,tt0119116,diva,diva plavalaguna,nm0494069
6,tt0119116,girl,tawdry girl,nm0759291
6,tt0119116,korben,korben dallas,nm0000246
6,tt0119116,leeloo,leeloo,nm0000170
6,tt0119116,loc rhod,ruby rhod,nm0000676
6,tt0119116,mactilburgh,mactilburgh,nm0265457
6,tt0119116,mugger,mugger,nm0440913
6,tt0119116,munro,general munro,nm0001397
6,tt0119116,president,president lindberg,nm0001474
6,tt0119116,priest,priest,nm0071838
6,tt0119116,professor,professor pacoli,nm0089944
6,tt0119116,secretary,zorg's secretary,nm0118423
6,tt0119116,staedert,general staedert,nm0627453
6,tt0119116,zorg,jean-baptiste emanuel zorg,nm0000198
7,tt0134273,amy,amy welles,nm0001416
7,tt0134273,angry dealer,porn dealer,nm0730208
7,tt0134273,dino,dino velvet,nm0001780
7,tt0134273,director,archive director,nm0650406
7,tt0134273,eddie,eddie poole,nm0001254
7,tt0134273,longdale,daniel longdale,nm0372217
7,tt0134273,max,max california,nm0001618
7,tt0134273,mrs christian,mrs. christian,nm0141839
7,tt0134273,mrs mathews,mary ann mathews,nm0694158
7,tt0134273,nun,nun,nm0094335
7,tt0134273,welles,tom welles,nm0000115
8,tt0095742,alice,alice,nm0928244
8,tt0095742,dan,dan,nm0368397
8,tt0095742,debbie,debbie,nm0857378
8,tt0095742,elaine,elaine,nm0120401
8,tt0095742,kristen,kristen,nm0461110
8,tt0095742,nurse,nurse,nm0513414
8,tt0095742,rick,rick,nm0427470
8,tt0095742,sheila,sheila,nm0006802
9,tt0097981,alice,alice,nm0928244
9,tt0097981,dan,dan,nm0368397
9,tt0097981,greta,greta,nm0026692
9,tt0097981,jacob,jacob,nm0381035
9,tt0097981,mark,mark,nm0781618
9,tt0097981,mrs. jordan,mrs. jordan,nm0035930
9,tt0097981,yvonne,yvonne,nm0591702
10,tt0052587,carl,dr. carl neilson jr.,nm0357020
10,tt0052587,dave,lt. david milburn,nm0239532
10,tt0052587,griff,cpo 'grif' griffin,nm0824496
10,tt0052587,kent,dr. clifford kent,nm0889511
10,tt0052587,reef,lt. cmdr. richard 'reef' holloway,nm0291821
10,tt0052587,saucer voice,saucer voice,nm0384955
10,tt0052587,sir ian,sir ian hunt,nm0007218
10,tt0052587,wendover,cmdr. dan wendover,nm0285264
11,tt0118564,alma,alma pittman,nm0783033
11,tt0118564,chick,chick ward,nm0692874
11,tt0118564,hand,atty. j. battle hand,nm0513468
11,tt0118564,jack,jack hewitt,nm0874082
11,tt0118564,jill,jill whitehouse,nm0862923
11,tt0118564,lariviere,gordon lariviere,nm0651660
11,tt0118564,lillian,lillian whitehouse horner,nm0002148
11,tt0118564,lugene,lugene brooks,nm0488324
11,tt0118564,margie,margie fogg,nm0000651
11,tt0118564,mel gordon,mel gordon,nm0011374
11,tt0118564,mrs. gordon,mrs. gordon,nm0021911
11,tt0118564,nick,nick wickham,nm0733500
11,tt0118564,rolfe,young rolfe whitehouse,nm0130711
11,tt0118564,twombley,evan twombley,nm0564921
11,tt0118564,wade,wade whitehouse,nm0000560
12,tt0118571,alice,alice marshall,nm0560093
12,tt0118571,chief mechanic,chief mechanic,nm0508742
12,tt0118571,col. carlton,f-15 leader colonel carlton,nm0573134
12,tt0118571,dean,defense secretary walter dean,nm0001777
12,tt0118571,doherty,nsa advisor jack doherty,nm0263577
12,tt0118571,general northwood,general northwood,nm0810488
12,tt0118571,gibbs,agent gibbs,nm0075359
12,tt0118571,kc-135 pilot,pilot,nm0084163
12,tt0118571,korshunov,ivan korshunov,nm0000198
12,tt0118571,lee,white house aide thomas lee,nm0308208
12,tt0118571,major caldwell,major caldwell,nm0000513
12,tt0118571,marshall,president james marshall,nm0000148
12,tt0118571,mitchell,press secretary melanie mitchell,nm0120141
12,tt0118571,rose,grace marshall,nm0187724
12,tt0118571,secret service agent,secret service agent,nm1344971
12,tt0118571,shepherd,chief of staff lloyd shepherd,nm0002117
12,tt0118571,switchboard,switchboard operator,nm0068690
12,tt0118571,v.p. chandler,vice president kathryn bennett,nm0000335
13,tt0083530,commissioner,the commissioner,nm0215000
13,tt0083530,dunn,dunn,nm0914482
13,tt0083530,elaine,elaine,nm0353546
13,tt0083530,jimmy,jimmy wilson,nm0732319
13,tt0083530,john,john wilson,nm0397243
13,tt0083530,kruger,kruger,nm0001800
13,tt0083530,mary,mary,nm0680881
13,tt0083530,oveur,captain oveur,nm0336335
13,tt0083530,porter,porter,nm0639650
13,tt0083530,rok,"voice of rok, the main computer on lunar flight",nm0277946
13,tt0083530,rumack,dr. rumack,nm0000558
13,tt0083530,simon,simon,nm0263496
14,tt0080339,carey,paul carey,nm0073551
14,tt0080339,dr. rumack,dr. rumack,nm0000558
14,tt0080339,elaine,elaine,nm0353546
14,tt0080339,girl,soldier's girl,nm0316837
14,tt0080339,gunderson,gunderson,nm0052186
14,tt0080339,jack,jack,nm0393310
14,tt0080339,joey,joey,nm0365283
14,tt0080339,kramer,kramer,nm0821041
14,tt0080339,lisa,lisa davis,nm0924038
14,tt0080339,mrs. hammen,mrs. hammen,nm0117165
14,tt0080339,mrs. kramer,mrs. kramer,nm0835651
14,tt0080339,murdock,murdock,nm0000717
14,tt0080339,oveur,captain oveur,nm0336335
14,tt0080339,randy,randy,nm0666309
14,tt0080339,shirley,shirley,nm0580435
14,tt0080339,soldier,soldier,nm0642429
14,tt0080339,striker,ted striker,nm0001332
15,tt0094631,cassandra,cassandra,nm0079800
15,tt0094631,fedorchuk,fedorchuk,nm0419273
15,tt0094631,harcourt,william harcourt,nm0000654
15,tt0094631,jetson,det. samuel 'george' francisco,nm0001597
15,tt0094631,kipling,rudyard kipling,nm0397441
15,tt0094631,maffet,moffet,nm0393458
15,tt0094631,o'neal,o'neal,nm0906131
15,tt0094631,operator,computer operator,nm0236858
15,tt0094631,porter,trent porter,nm0859921
15,tt0094631,sykes,det. sgt. matthew sykes,nm0001001
15,tt0094631,tuggle,det. bill tuggle,nm0114578
15,tt0094631,warner,capt. warner,nm0565133
15,tt0094631,winter,winter,nm0949775
16,tt0090605,apone,sergeant apone,nm0559922
16,tt0090605,bishop,bishop,nm0000448
16,tt0090605,burke,burke,nm0001663
16,tt0090605,gorman,lieutenant gorman,nm0394054
16,tt0090605,hicks,corporal hicks,nm0000299
16,tt0090605,hudson,private hudson,nm0000200
16,tt0090605,lydecker,lydecker,nm0035628
16,tt0090605,med-tech,med tech,nm0663769
16,tt0090605,newt,newt,nm0001343
16,tt0090605,ripley,ripley,nm0000244
16,tt0090605,simpson,simpson,nm0567881
16,tt0090605,van leuwen,van leuwen,nm0561792
16,tt0090605,vasquez,private vasquez,nm0001280
17,tt0086879,arco,count arco,nm0780528
17,tt0086879,cavalieri,katerina cavalieri,nm0002056
17,tt0086879,colloredo,archbishop colloredo,nm0449162
17,tt0086879,commendatore,parody commendatore,nm0048652
17,tt0086879,constanze,constanze mozart,nm0000931
17,tt0086879,frau schlumberg,frau schlumberg (2002 director's cut),nm0957611
17,tt0086879,joseph,emperor joseph ii,nm0000470
17,tt0086879,leopold,leopold mozart,nm0234541
17,tt0086879,lorl,lorl,nm0633223
17,tt0086879,mozart,wolfgang amadeus mozart,nm0001371
17,tt0086879,orsini-rosenberg,count orsini-rosenberg,nm0443016
17,tt0086879,papageno,papageno in 'the magic flute'       (singing voice),nm3113470
17,tt0086879,salieri,antonio salieri,nm0000719
17,tt0086879,schikaneder,emanuel schikaneder,nm0001003
17,tt0086879,schlumberg,michael schlumberg (2002 director's cut),nm0573299
17,tt0086879,servant,salieri's servant,nm0501951
17,tt0086879,vogler,father vogler,nm0291068
17,tt0086879,von strack,count von strack,nm0177260
18,tt0082010,alex,nurse alex price,nm0000256
18,tt0082010,benjamin,benjamin,nm0272817
18,tt0082010,chess player,chess player,nm0323093
18,tt0082010,david,david kessler,nm0622544
18,tt0082010,dr. hirsch,dr. j. s. hirsch,nm0940892
18,tt0082010,jack,jack goodman,nm0001162
18,tt0082010,lt. villiers,inspector villiers,nm0571743
18,tt0082010,woman,woman in zoo,nm0103213
19,tt0022626,charlie,charlie,nm0492463
19,tt0022626,clark,clark,nm0561693
19,tt0022626,cluett,cluett,nm0330200
19,tt0022626,dickson,dickson,nm0404158
19,tt0022626,dude,dude finlay,nm0000252
19,tt0022626,helen,helen,nm0191870
19,tt0022626,inspector,inspector,nm0640495
19,tt0022626,matt,matt,nm0002285
19,tt0022626,mrs. dickson,mrs. dickson,nm0425512
19,tt0022626,mrs. halligan,mrs. halligan,nm0683114
19,tt0022626,o'brien,o'brien,nm0161414
19,tt0022626,oscar,oscar,nm0001359
19,tt0022626,sampson,sampson,nm0103249
20,tt0244000,bob,bob younger,nm0566489
20,tt0244000,burly detective,burly detective,nm0002901
20,tt0244000,cole,cole younger,nm0004790
20,tt0244000,comanche tom,comanche tom,nm0033505
20,tt0244000,deputy,deputy,nm0259029
20,tt0244000,doc mimms,"doc mimms, zee's dad",nm0001074
20,tt0244000,frank,frank james,nm0532683
20,tt0244000,jesse,jesse james,nm0268199
20,tt0244000,jim,jim younger,nm0808376
20,tt0244000,lyla,lyla,nm0789892
20,tt0244000,ma,ma james,nm0000870
20,tt0244000,old man,old man tucker (outside bank),nm0312239
20,tt0244000,parker,rollin h. parker - rains' gopher,nm0642368
20,tt0244000,pastor,pastor,nm0429100
20,tt0244000,pinkerton,pinkerton,nm0996767
20,tt0244000,rains,"thaddeus rains, president rock northern rail road",nm0950867
20,tt0244000,sherriff,sheriff,nm0500894
20,tt0244000,teller,teller,nm0183102
20,tt0244000,zee,zerelda 'zee' mimms,nm0005123
21,tt0144084,bateman,patrick bateman,nm0000288
21,tt0144084,carnes,harold carnes,nm0091505
21,tt0144084,carruthers,luis carruthers,nm0743671
21,tt0144084,christie,christie,nm0786806
21,tt0144084,courtney,courtney rawlinson,nm0000526
21,tt0144084,daisy,daisy,nm0576702
21,tt0144084,elizabeth,elizabeth,nm0877587
21,tt0144084,evelyn,evelyn williams,nm0000702
21,tt0144084,homeless man,homeless man,nm0146146
21,tt0144084,jean,jean,nm0001721
21,tt0144084,kimball,donald kimball,nm0000353
21,tt0144084,maitre d',maitre d�,nm0927516
21,tt0144084,mrs. wolfe,mrs. wolfe,nm0300833
21,tt0144084,van patten,david van patten,nm0756083
21,tt0144084,victoria,victoria,nm0198695
22,tt0218817,alice,alice poulson,nm0001231
22,tt0218817,barton,lyle barton,nm0745780
22,tt0218817,brian,brian bissel,nm0244631
22,tt0218817,danny,danny,nm0522704
22,tt0218817,gary,gary winston,nm0000209
22,tt0218817,larry,larry banks,nm0750353
22,tt0218817,lisa,lisa calighan,nm0000337
22,tt0218817,milo,milo hoffman,nm0000202
22,tt0218817,phil,phil grimes,nm0068709
22,tt0218817,randy,randy,nm0069069
22,tt0218817,redmond,redmond,nm0479527
22,tt0218817,shrot,bob shrot,nm0568855
22,tt0218817,teddy,teddy chin,nm0875114
23,tt0118655,alotta,alotta fagina,nm0007197
23,tt0118655,andy warhol,andy warhol,nm0109517
23,tt0118655,austin,austin powers,nm0000196
23,tt0118655,basil exposition,basil exposition,nm0001868
23,tt0118655,clerk,quartermaster clerk,nm0611974
23,tt0118655,frau farbissina,frau farbissina,nm0827565
23,tt0118655,guard,security guard,nm1415992
23,tt0118655,mrs. kensington,mrs. kensington,nm0000211
23,tt0118655,mustafa,mustafa,nm0002071
23,tt0118655,number two,number two,nm0001822
23,tt0118655,scott evil,scott evil,nm0001293
23,tt0118655,therapist,therapist,nm0000402
23,tt0118655,vanessa,vanessa kensington,nm0000167
24,tt0118661,bailey,bailey,nm0412850
24,tt0118661,dr. darling,dr. darling,nm0940245
24,tt0118661,emma,emma peel,nm0000235
24,tt0118661,father,father,nm0789716
24,tt0118661,invisible jones,invisible jones,nm0001495
24,tt0118661,mother,mother,nm0000980
24,tt0118661,porter,boodle's porter,nm0525973
24,tt0118661,sir august,sir august de wynter,nm0000125
24,tt0118661,steed,john steed,nm0000146
25,tt0086927,bobbie,bobbi,nm0810212
25,tt0086927,cole,cole whittier,nm0696127
25,tt0086927,debbie,debbie thompson,nm0000478
25,tt0086927,executive,elkshead executive,nm0228552
25,tt0086927,gary,gary,nm0343643
25,tt0086927,ilene,ilene,nm0363493
25,tt0086927,manager,parkview hotel manager,nm0454030
25,tt0086927,mr. thomerson,ed thompson,nm0342732
25,tt0086927,mrs. thomerson,mrs. thompson,nm0835651
25,tt0086927,o'neill,jay o'neill,nm0957460
25,tt0086927,phoebe,phoebe,nm0277433
25,tt0086927,rajah,rajah,nm0838524
25,tt0086927,rick,rick gassko,nm0000158
25,tt0086927,ryko,ryko,nm0001154
25,tt0086927,sister mary francis,sister mary francis,nm0770298
25,tt0086927,stan,dr. stan gassko,nm0855335
25,tt0086927,woman,screaming woman,nm0674173
26,tt0101393,axe,john 'axe' adcox,nm0001277
26,tt0101393,brian,brian mccaffrey,nm0000287
26,tt0101393,chief fitzgerald,chief john fitzgerald,nm0595166
26,tt0101393,grindle,grindle,nm0949368
26,tt0101393,helen,helen mccaffrey,nm0000360
26,tt0101393,jennifer,jennifer vaitkus,nm0000492
26,tt0101393,ricco,"ricco, pathologist",nm0397212
26,tt0101393,ronald,ronald bartel,nm0000661
26,tt0101393,shadow,donald 'shadow' rimgale,nm0000134
26,tt0101393,stephen,stephen 'bull' mccaffrey,nm0000621
26,tt0101393,swayzak,alderman marty swayzak,nm0000687
26,tt0101393,tim,tim krizminski,nm0001263
26,tt0101393,willy,"willy, bartender",nm0841568
27,tt0103759,ariane,ariane,nm0123295
27,tt0103759,jc,j.c.,nm0488095
27,tt0103759,jesus,jesus,nm0004272
27,tt0103759,large,large,nm0012376
27,tt0103759,lite,lite,nm0749457
27,tt0103759,lt,the lieutenant,nm0000172
27,tt0103759,nun,the nun,nm0861289
27,tt0103759,priest,priest,nm0844969
28,tt0215545,big black,mau mau: big blak afrika (julius hopkins),nm0080049
28,tt0215545,cheeba,womack,nm0203508
28,tt0215545,delacroix,pierre delacroix,nm0001834
28,tt0215545,dot,dot,nm0429213
28,tt0215545,dunwitty,thomas dunwitty,nm0001650
28,tt0215545,honeycutt,honeycutt,nm0126070
28,tt0215545,jukka,jukka laks,nm0088898
28,tt0215545,junebug,junebug,nm0600763
28,tt0215545,mantan,mantan,nm0323174
28,tt0215545,mona,mona,nm0101040
28,tt0215545,myrna,myrna goldfarb,nm0669109
28,tt0215545,orchid,orchid dothan,nm0061250
28,tt0215545,sloan,sloan hopkins,nm0000586
29,tt0072684,armed gentleman,,nm0480783
29,tt0072684,captain grogan,captain grogan,nm0703501
29,tt0072684,chevalier,the chevalier du balibari,nm0535861
29,tt0072684,prince,prince of t�bingen,nm0434759
30,tt0264395,dunbar,dunbar,nm0887144
30,tt0264395,hardy,hardy,nm0000237
30,tt0264395,kendall,kendall,nm0000610
30,tt0264395,mueller,mueller,nm0005231
30,tt0264395,osborne,osborne,nm0001567
30,tt0264395,pike,pike,nm0004875
30,tt0264395,styles,styles,nm0004857
30,tt0264395,west,west,nm0000168
31,tt0319061,amos,amos calloway,nm0000362
31,tt0319061,beamen,beamen,nm0906525
31,tt0319061,don price,don price - age 18-22,nm0219292
31,tt0319061,dr. bennett,dr. bennett - senior,nm0347039
31,tt0319061,edward,ed bloom - young,nm0000191
31,tt0319061,jenny,jenny - young,nm0000307
31,tt0319061,josephine,josephine bloom,nm0182839
31,tt0319061,karl,karl the giant,nm0570067
31,tt0319061,norther winslow,norther winslow,nm0000114
31,tt0319061,sandra,sandra bloom - senior,nm0001448
31,tt0319061,will,will bloom,nm0001082
32,tt0188453,alexei,alexei,nm0001993
32,tt0188453,branch manager,bank manager,nm0542118
32,tt0188453,john,john,nm0001035
32,tt0188453,nadia,"sophia, alias nadia",nm0000173
32,tt0188453,official,passport official,nm0830906
32,tt0188453,yuri,yuri,nm0440913
33,tt0462200,angela,angela,nm0580924
33,tt0462200,bojo,bojo,nm1984512
33,tt0462200,bryan,bryan,nm0088699
33,tt0462200,ella mae,ella mae,nm1106055
33,tt0462200,gill,gill,nm1535423
33,tt0462200,jesse,jesse,nm2058531
33,tt0462200,lazarus,lazarus,nm0000168
33,tt0462200,lincoln,lincoln,nm2542091
33,tt0462200,mayella,mayella,nm0934083
33,tt0462200,r.l.,charlie,nm0685998
33,tt0462200,rae,rae,nm0000207
33,tt0462200,ronnie,ronnie,nm0005493
33,tt0462200,rose,rose woods,nm0502180
33,tt0462200,sandy,sandy,nm0001668
33,tt0462200,tehronne,tehronne,nm1755886
34,tt0096933,charlie,charlie vincent,nm0000412
34,tt0096933,ich,masahiro,nm0847264
34,tt0096933,joyce,joyce,nm0001009
34,tt0096933,nick,nick conklin,nm0000140
34,tt0096933,ohashi,ohashi,nm0477772
34,tt0096933,oliver,oliver,nm0817983
34,tt0096933,sugai,sugai,nm0423663
35,tt0083658,batty,roy batty,nm0000442
35,tt0083658,bryant,bryant,nm0001826
35,tt0083658,chew,hannibal chew,nm0393222
35,tt0083658,deckard,rick deckard,nm0000148
35,tt0083658,gaff,gaff,nm0001579
35,tt0083658,holden,holden,nm0667133
35,tt0083658,leon,leon kowalski,nm0001397
35,tt0083658,pris,pris,nm0000435
35,tt0083658,rachael,rachael,nm0000707
35,tt0083658,sebastian,j.f. sebastian,nm0761836
35,tt0083658,taffey,taffey lewis,nm0131987
35,tt0083658,tyrell,dr. eldon tyrell,nm0877185
36,tt0124298,adam,adam,nm0000409
36,tt0124298,aron,ron,nm0779073
36,tt0124298,atkinson,atkinson,nm0741803
36,tt0124298,bellboy,bellboy,nm0957955
36,tt0124298,butcher,butcher,nm0839881
36,tt0124298,bystander #1,bystander #1,nm0682353
36,tt0124298,calvin,calvin,nm0000686
36,tt0124298,clerk,bakery clerk,nm0789972
36,tt0124298,cliff,cliff,nm0277213
36,tt0124298,eve,eve,nm0000224
36,tt0124298,helen,helen,nm0000651
36,tt0124298,jerry,jerry,nm0947742
36,tt0124298,levy,levy,nm0933505
36,tt0124298,miss sweet,miss sweet,nm0446075
36,tt0124298,mom,mom,nm0710632
36,tt0124298,pilot,navy pilot,nm0435114
36,tt0124298,postal worker,postal worker,nm0248913
36,tt0124298,soda jerk,soda jerk,nm0806217
36,tt0124298,street walker,streetwalker,nm0419807
36,tt0124298,troy,troy,nm0004929
37,tt0090756,aunt barbara,aunt barbara,nm0062844
37,tt0090756,ben,ben,nm0001777
37,tt0090756,detective williams,detective john williams,nm0225419
37,tt0090756,dorothy,dorothy vallens,nm0000618
37,tt0090756,frank,frank booth,nm0000454
37,tt0090756,jeffrey,jeffrey beaumont,nm0001492
37,tt0090756,mike,mike,nm0832944
37,tt0090756,mrs. beaumont,mrs. beaumont,nm0688467
37,tt0090756,mrs. williams,mrs. williams,nm0486136
37,tt0090756,raymond,raymond,nm0000374
37,tt0090756,sandy,sandy williams,nm0000368
37,tt0090756,yellow man,yellow man,nm0681947
38,tt0144117,augustus,augustus,nm0228441
38,tt0144117,chaffey,officer chaffey,nm0149543
38,tt0144117,connor,connor macmanus,nm0001218
38,tt0144117,doc,doc,nm0662730
38,tt0144117,dolly,detective dolly,nm0275072
38,tt0144117,donna,donna,nm0682095
38,tt0144117,duffy,detective duffy,nm0537126
38,tt0144117,greenly,detective greenly,nm0549125
38,tt0144117,murphy,murphy macmanus,nm0005342
38,tt0144117,priest,priest,nm1060360
38,tt0144117,rocco,rocco,nm0217386
38,tt0144117,smecker,paul smecker,nm0000353
38,tt0144117,vincenzo,vincenzo lipazzi,nm0000465
38,tt0144117,yakavetta,yakavetta,nm0744690
39,tt0115734,anthony,anthony adams,nm0005561
39,tt0115734,applejack,applejack,nm0690392
39,tt0115734,bob,bob mapplethorpe,nm0615663
39,tt0115734,cop,cop,nm0517719
39,tt0115734,dignan,dignan,nm0005562
39,tt0115734,employee,bookstore employee,nm0657784
39,tt0115734,future man,future man,nm0932992
39,tt0115734,inez,inez,nm0004816
39,tt0115734,jackson,jackson,nm0186660
39,tt0115734,kumar,kumar,nm0657785
39,tt0115734,mr. henry,mr. henry,nm0001001
40,tt0372183,abbott,ward abbott,nm0004051
40,tt0372183,bourne,jason bourne,nm0000354
40,tt0372183,cronin,tom cronin,nm0303132
40,tt0372183,gretkov,gretkov,nm0734558
40,tt0372183,irena,irena neski,nm0968541
40,tt0372183,ivan,ivan,nm0468314
40,tt0372183,jarda,jarda,nm0190744
40,tt0372183,marie,marie,nm0004376
40,tt0372183,marshall,martin marshall,nm0032962
40,tt0372183,nevins/phone,nevins,nm0341377
40,tt0372183,nicky,nicky,nm0005466
40,tt0372183,pamela,pamela landy,nm0000260
40,tt0372183,teddy,teddy,nm0066023
40,tt0372183,vic,vic,nm1587209
40,tt0372183,zorn,danny zorn,nm0542759
42,tt0289879,andrea,andrea,nm0001828
42,tt0289879,carlos,carlos,nm0243806
42,tt0289879,dr. redfield,dr. redfield,nm0222294
42,tt0289879,evan,evan,nm0005110
42,tt0289879,heidi,heidi,nm1537949
42,tt0289879,hunter,hunter,nm0860184
42,tt0289879,jason,jason,nm0719678
42,tt0289879,kayleigh,kayleigh,nm0005442
42,tt0289879,lenny,lenny,nm0711805
42,tt0289879,mr. miller,mr. miller,nm0000655
42,tt0289879,mrs. boswell,mrs. boswell,nm0301874
42,tt0289879,professor carter,professor carter,nm0522979
42,tt0289879,thumper,thumper,nm0839486
42,tt0289879,tommy,tommy,nm0005406
42,tt0289879,waitress,waitress,nm0672413
43,tt0034583,annina,annina brandel,nm0656226
43,tt0034583,berger,berger,nm0702798
43,tt0034583,carl,carl,nm0757064
43,tt0034583,emil,emil - croupier at rick's,nm0197950
43,tt0034583,ferrari,signor ferrari,nm0002113
43,tt0034583,ilsa,ilsa lund,nm0000006
43,tt0034583,laszlo,victor laszlo,nm0002134
43,tt0034583,renault,captain louis renault,nm0001647
43,tt0034583,rick,rick blaine,nm0000007
43,tt0034583,sam,sam,nm0933330
43,tt0034583,strasser,major heinrich strasser,nm0891998
43,tt0034583,tourist,prosperous tourist,nm0410316
43,tt0034583,ugarte,ugarte,nm0000048
43,tt0034583,yvonne,yvonne,nm0495495
44,tt0162222,bettina,bettina peterson,nm0925096
44,tt0162222,chuck,chuck noland,nm0000158
44,tt0162222,driver,taxi driver,nm0018373
44,tt0162222,kelly,kelly frears,nm0000166
44,tt0162222,stan,stan,nm0780678
45,tt0124315,angela,nurse angela,nm0000834
45,tt0124315,buster,buster,nm0001085
45,tt0124315,candy,candy kendall,nm0000234
45,tt0124315,curly,curly,nm0224725
45,tt0124315,edna,nurse edna,nm0000737
45,tt0124315,fuzzy,fuzzy,nm0838059
45,tt0124315,homer,homer wells,nm0001497
45,tt0124315,jack,jack,nm0661992
45,tt0124315,larch,dr. wilbur larch,nm0000323
45,tt0124315,major winslow,major winslow,nm0410249
45,tt0124315,mary agnes,mary agnes,nm0209289
45,tt0124315,mr. rose,arthur rose,nm0005148
45,tt0124315,mrs. goodhall,mrs. goodhall,nm0277644
45,tt0124315,muddy,muddy,nm0293461
45,tt0124315,olive,olive worthington,nm0625075
45,tt0124315,peaches,peaches,nm0372809
45,tt0124315,ray,ray kendall,nm0799777
45,tt0124315,rose rose,rose rose,nm0004721
45,tt0124315,wally,lt. wally worthington,nm0748620
46,tt0310910,ashby,grant ashby,nm0002253
46,tt0310910,big al,big al,nm0518385
46,tt0310910,gillette,morgan price,nm0001233
46,tt0310910,gordo,gordo,nm0316079
46,tt0310910,jake,jake vig,nm0122653
46,tt0310910,king pin,king,nm0000163
46,tt0310910,lily,lily,nm0001838
46,tt0310910,lionel,lionel dolby,nm0650702
46,tt0310910,lupus,lupus,nm1065281
46,tt0310910,miles,miles,nm0887144
46,tt0310910,moonan,gunther butan,nm0000412
46,tt0310910,mr. lewis,mr. lewis,nm0683986
46,tt0310910,rottovich,travis,nm0004820
46,tt0310910,salesgirl,salesgirl,nm1191087
47,tt0159382,bella,bella,nm0362175
47,tt0159382,dealer,car dealer,nm0442997
47,tt0159382,giles,giles cremorne,nm0714919
47,tt0159382,jack,jack manfred,nm0654110
47,tt0159382,jani,jani de villiers,nm0005094
47,tt0159382,lucy,lucy,nm0663191
47,tt0159382,marion,marion nell,nm0571160
47,tt0159382,matt,matt,nm0721900
47,tt0159382,reynolds,david reynolds,nm0607916
47,tt0159382,ross,ross,nm0543429
48,tt0069945,boiler,boiler,nm0475157
48,tt0069945,bomb #19,bomb #20,nm1104654
48,tt0069945,doolittle,lt. doolittle,nm0621406
48,tt0069945,pinback,pinback,nm0639321
